CaseId,SystemName,ActorName,ActorType,Synonyms
1,Online Shopping System,Administrator,Primary,System Manager | System Admin | System Admin | School Admin | Admin | Admin | Admin | System Admin | Admin | System Manager
1,Online Shopping System,Backend Database System,Secondary,Data System | Database
1,Online Shopping System,User,Primary,Borrower | Student | Controller | Customer | Customer | Client | Shopper | Patron | Subscriber | Rider | Passenger | Client | Client | Learner | Caller | Client | Operator
2,Administration Application,Helpdesk,Secondary,Support
2,Administration Application,Website Administrator,Primary,Web Admin | Admin
3,Design Support System,Administration,Primary,Admin | Management
3,Design Support System,Client,Primary,Customer | Diner | Patron | Customer | User
3,Design Support System,Engineer,Primary,Developer | Designer
4,Vehicle ,Driver,Primary,Operator | Vehicle Operator | Operator
4,Vehicle ,Vehicle Occupant,Primary,Rider | Passenger
5,Airport,Airport Staff,Primary,Airport Employee | Terminal Staff
5,Airport,Passenger,Primary,Patron | Traveler | Flyer | Traveler
6,Sentinel EMS,Customer Service,Primary,Customer Support | Service Agent
6,Sentinel EMS,Developer,Primary,Software Engineer | Programmer
6,Sentinel EMS,Privilege Manager,Primary,Access Manager | Privilege Admin
6,Sentinel EMS,Product Manager,Primary,Product Lead | Product Owner
7,Cab Booking Application,Backend,Secondary,System Core | Processing Unit | Server
7,Cab Booking Application,User,Primary,Borrower | Student | Controller | Customer | Customer | Client | Shopper | Patron | Subscriber | Rider | Passenger | Client | Client | Learner | Caller | Client | Operator
8,Appointment Booking ,Payment Gateway,Secondary,Payor | Gateway
8,Appointment Booking ,Service Provider,Primary,Provider | System Admin | Provider | Practitioner
8,Appointment Booking ,User,Primary,Borrower | Student | Controller | Customer | Customer | Client | Shopper | Patron | Subscriber | Rider | Passenger | Client | Client | Learner | Caller | Client | Operator
9,Satellite System,Environmental Test Engineer,Primary,Test Engineer | Environment Engineer
9,Satellite System,Flight Controller,Primary,Flight Team | Controller
9,Satellite System,Payload Operator,Primary,Payload User | Operator
9,Satellite System,Solar Simulation Chamber,Secondary,Simulation Chamber | Solar Chamber
10,UAV Mission Planning,Camera,Secondary,Imager
10,UAV Mission Planning,GPS,Secondary,Global Positioning
10,UAV Mission Planning,Operator,Primary,Admin | User | Controller | User | Staff | Controller | User
10,UAV Mission Planning,Server,Secondary,Host | System Server
11,Real Time System Controller,Actuator,Secondary,Effector
11,Real Time System Controller,Maintenance Crew,Primary,Crew Member | Maintenance Personnel
11,Real Time System Controller,Sensor,Secondary,Detector | Detector
11,Real Time System Controller,Supervisor,Primary,Overseer | Manager | Bike Supervisor | Manager | Overseer | Supervisor Role
11,Real Time System Controller,System User,Primary,Operator | User
12,Aircraft Design Review System,Design Engineer,Primary,Design Analyst | Designer
12,Aircraft Design Review System,Project Manager,Primary,Program Manager | Project Lead
