CaseLabel;SystemName;SystemSynonyms;PrimaryDomain;AllDomains;PrimaryActors;SecondaryActors;AllActors;ActorSynonyms;UseCases;UseCaseSynonyms;Relationships;RelationshipTypes;HasInclude;HasExtend;HasGeneralization
UCD_0001;Online Shopping System;Online Store | Shopping System;Customer Support;Customer Support | Database Management | E-commerce | Product Management | User Account Management;Administrator | User;Backend Database System;Administrator | Backend Database System | User;Administrator: Admin | System Manager || Backend Database System: Data System | Database || User: Customer | Shopper;Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product;Access Account: Login Account | Open Account || Add Product: Create Product || Add To Cart: Insert Item || Buy Product: Purchase Product || Delete Product: Remove Product || Recommend New Product: Propose Product | Suggest Product || Register User: Create User | Enroll User || Report Technical Issue: Log Issue | Notify Problem || Update Product Detail: Modify Product | Revise Product || View Product: Inspect Product;association: Administrator(actor) -> Add Product(usecase) | association: Administrator(actor) -> Delete Product(usecase) | association: Administrator(actor) -> Update Product Detail(usecase) | association: Backend Database System(actor) -> Recommend New Product(usecase) | association: Backend Database System(actor) -> Register User(usecase) | association: Backend Database System(actor) -> Update Product Detail(usecase) | association: User(actor) -> Access Account(usecase) | association: User(actor) -> Add To Cart(usecase) | association: User(actor) -> Buy Product(usecase) | association: User(actor) -> Register User(usecase) | association: User(actor) -> Report Technical Issue(usecase) | extend: View Product(usecase) -> Add To Cart(usecase) [When Product Needs to be Viewed];association | extend;No;Yes;No
UCD_0002;Administration Application;Admin Application | Administration App;Access Control Management;Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management;Website Administrator;Helpdesk;Helpdesk | Website Administrator;Helpdesk: Support || Website Administrator: Admin | Web Admin;Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup;Manage Access Control Policy: Access Management | Control Access || Manage Logs: Audit Logs | Review Logs || Manage Session: Control Session | Session Control || Manage User: Control User | User Control || Perform System Backup: Backup System | Create Backup;association: Helpdesk(actor) -> Manage Logs(usecase) | association: Helpdesk(actor) -> Manage Session(usecase) | association: Website Administrator(actor) -> Manage Logs(usecase) | association: Website Administrator(actor) -> Manage Session(usecase) | association: Website Administrator(actor) -> Manage User(usecase) | include: Manage Access Control Policy(usecase) -> Perform System Backup(usecase) | include: Manage Logs(usecase) -> Manage Access Control Policy(usecase);association | include;Yes;No;No
UCD_0003;Design Support System;Design System | Support System;Furniture Design;Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering;Administration | Client | Engineer;;Administration | Client | Engineer;Administration: Admin | Management || Client: Customer | User || Engineer: Designer | Developer;Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement;Approve Heating Design: Check Heating | Review Heating || Approve Structural Design: Check Structure | Review Structure || Finalize Product: Close Product | Complete Product || Report Issue: Log Issue | Note Problem || Validate Furniture Design: Check Furniture | Review Furniture || Verify Client Requirement: Check Requirement | Confirm Requirement;association: Administration(actor) -> Verify Client Requirement(usecase) | association: Client(actor) -> Finalize Product(usecase) | association: Client(actor) -> Verify Client Requirement(usecase) | association: Engineer(actor) -> Approve Structural Design(usecase) | association: Engineer(actor) -> Finalize Product(usecase) | extend: Report Issue(usecase) -> Finalize Product(usecase) [When an Issue is Found] | include: Approve Structural Design(usecase) -> Approve Heating Design(usecase) | include: Approve Structural Design(usecase) -> Validate Furniture Design(usecase) | include: Validate Furniture Design(usecase) -> Verify Client Requirement(usecase) | include: Verify Client Requirement(usecase) -> Finalize Product(usecase);association | extend | include;Yes;Yes;No
UCD_0004;Vehicle ;Automobile | Transport;Automotive Engineering;Automotive Engineering | Passenger Comfort Systems | Vehicle Access Control | Vehicle Control Systems | Vehicle Safety Systems;Driver | Vehicle Occupant;;Driver | Vehicle Occupant;Driver: Operator || Vehicle Occupant: Passenger | Rider;Control Climate System | Control Entertainment System | Control Vehicle Accessory | Drive Vehicle | Enter Vehicle | Exit Vehicle | Open Door | Perform Anti Lock Braking;Control Climate System: Adjust Climate | Manage Climate || Control Entertainment System: Adjust Entertainment | Manage Entertainment || Control Vehicle Accessory: Adjust Accessory | Manage Accessory || Drive Vehicle: Operate Vehicle | Steer Vehicle || Enter Vehicle: Board Vehicle || Exit Vehicle: Leave Vehicle || Open Door: Unlock Door || Perform Anti Lock Braking: Activate Abs | Engage Abs;association: Driver(actor) -> Drive Vehicle(usecase) | association: Vehicle Occupant(actor) -> Control Vehicle Accessory(usecase) | association: Vehicle Occupant(actor) -> Enter Vehicle(usecase) | association: Vehicle Occupant(actor) -> Exit Vehicle(usecase) | extend: Perform Anti Lock Braking(usecase) -> Drive Vehicle(usecase) [When Braking is Required] | generalization: Control Climate System(usecase) -> Control Vehicle Accessory(usecase) | generalization: Control Entertainment System(usecase) -> Control Vehicle Accessory(usecase) | include: Enter Vehicle(usecase) -> Open Door(usecase) | include: Exit Vehicle(usecase) -> Open Door(usecase);association | extend | generalization | include;Yes;Yes;Yes
UCD_0005;Airport;Air Terminal | Flight Center;Airline Operations;Airline Operations | Airport Security | Baggage Handling | Gate Management | Passenger Check-in;Airport Staff | Passenger;;Airport Staff | Passenger;Airport Staff: Airport Employee | Terminal Staff || Passenger: Flyer | Traveler;Assign Gate | Drop Baggage | Enter Security Screening | Handle Baggage | Issue Boarding Pass | Validate Counter Checkin | Validate Group Checkin | Validate Individual Checkin;Assign Gate: Allocate Gate || Drop Baggage: Check Baggage || Enter Security Screening: Pass Screening || Handle Baggage: Manage Baggage || Issue Boarding Pass: Provide Pass || Validate Counter Checkin: Confirm Checkin || Validate Group Checkin: Confirm Checkin || Validate Individual Checkin: Confirm Checkin;association: Airport Staff(actor) -> Issue Boarding Pass(usecase) | association: Airport Staff(actor) -> Validate Counter Checkin(usecase) | association: Passenger(actor) -> Validate Group Checkin(usecase) | association: Passenger(actor) -> Validate Individual Checkin(usecase) | include: Drop Baggage(usecase) -> Enter Security Screening(usecase) | include: Handle Baggage(usecase) -> Assign Gate(usecase) | include: Issue Boarding Pass(usecase) -> Handle Baggage(usecase) | include: Validate Individual Checkin(usecase) -> Drop Baggage(usecase);association | include;Yes;No;No
UCD_0006;Sentinel EMS;EMS System | Sentinel | Sentinel EMS;Customer Relationship Management;Customer Relationship Management | Entitlement Management | Environment Configuration | Product Lifecycle Management | Software Distribution;Customer Service | Developer | Privilege Manager | Product Manager;;Customer Service | Developer | Privilege Manager | Product Manager;Customer Service: Customer Support | Service Agent || Developer: Programmer | Software Engineer || Privilege Manager: Access Manager | Privilege Admin || Product Manager: Product Lead | Product Owner;Define Feature | Define Full Product | Define Product | Define Trial Product | Generate Branded Rus | Generate Product Key | Generate Runtime Installer | Generate Trial Product | Manage Customer | Manage Environment;Define Feature: Configure Feature | Set Feature || Define Full Product: Configure Product | Set Product || Define Product: Configure Product | Set Product || Define Trial Product: Configure Trial | Set Trial || Generate Branded Rus: Create Rus | Issue Rus || Generate Product Key: Create Key | Issue Key || Generate Runtime Installer: Build Installer | Create Installer || Generate Trial Product: Create Trial | Issue Trial || Manage Customer: Maintain Customer | Update Customer || Manage Environment: Maintain Environment | Update Environment;association: Customer Service(actor) -> Manage Customer(usecase) | association: Developer(actor) -> Generate Branded Rus(usecase) | association: Developer(actor) -> Generate Trial Product(usecase) | association: Privilege Manager(actor) -> Manage Customer(usecase) | association: Privilege Manager(actor) -> Manage Environment(usecase) | association: Product Manager(actor) -> Define Feature(usecase) | extend: Generate Product Key(usecase) -> Manage Environment(usecase) [When Key is Required] | generalization: Define Full Product(usecase) -> Define Product(usecase) | generalization: Define Trial Product(usecase) -> Define Product(usecase) | include: Define Feature(usecase) -> Define Product(usecase) | include: Generate Branded Rus(usecase) -> Manage Environment(usecase) | include: Generate Trial Product(usecase) -> Generate Runtime Installer(usecase) | include: Manage Environment(usecase) -> Manage Customer(usecase);association | extend | generalization | include;Yes;Yes;Yes
UCD_0007;Cab Booking Application;Booking System | Cab Application | Ride App;Mobile Applications;Mobile Applications | Payment Processing | Ride-Hailing Services | Transportation Logistics | User Account Management;User;Backend;Backend | User;Backend: Processing Unit | Server | System Core || User: Client | Passenger | Rider;Access Account | Book Cab | Choose Location | Confirm Booking | Delete Booking | Show Available Cabs | Show Driver Information | Show Payment Method;Access Account: Open Profile | View Account || Book Cab: Order Cab | Request Ride || Choose Location: Define Destination | Select Location || Confirm Booking: Accept Ride | Validate Booking || Delete Booking: Cancel Booking | Remove Reservation || Show Available Cabs: Display Cabs | List Vehicle || Show Driver Information: Display Driver | Present Driver || Show Payment Method: Display Payment | Present Method;association: Backend(actor) -> Confirm Booking(usecase) | association: Backend(actor) -> Show Available Cabs(usecase) | association: User(actor) -> Access Account(usecase) | association: User(actor) -> Confirm Booking(usecase) | extend: Delete Booking(usecase) -> Confirm Booking(usecase) [When Booking Needs to be Deleted] | include: Access Account(usecase) -> Choose Location(usecase) | include: Book Cab(usecase) -> Show Payment Method(usecase) | include: Choose Location(usecase) -> Show Available Cabs(usecase) | include: Confirm Booking(usecase) -> Show Driver Information(usecase) | include: Show Available Cabs(usecase) -> Book Cab(usecase) | include: Show Payment Method(usecase) -> Confirm Booking(usecase);association | extend | include;Yes;Yes;No
UCD_0008;Appointment Booking ;Appointment System | Booking System;Appointment Scheduling;Appointment Scheduling | Communication | Customer Support | Payment Processing | Service Management;Service Provider | User;Payment Gateway;Payment Gateway | Service Provider | User;Payment Gateway: Gateway | Payor || Service Provider: Practitioner | Provider || User: Client | Customer;Display Available Slot | Make Call | Receive Payment | Resolve Technical Issue | Schedule Appointment | Send Confirmation | Show Alternative Option | Show Payment Method;Display Available Slot: Present Availability | Show Slot || Make Call: Place Call || Receive Payment: Accept Payment | Process Payment || Resolve Technical Issue: Correct Error | Fix Problem || Schedule Appointment: Arrange Visit | Book Appointment || Send Confirmation: Deliver Notice | Issue Confirmation || Show Alternative Option: Display Alternative | Present Choice || Show Payment Method: Display Method | Present Option;association: Payment Gateway(actor) -> Show Payment Method(usecase) | association: Service Provider(actor) -> Display Available Slot(usecase) | association: Service Provider(actor) -> Resolve Technical Issue(usecase) | association: Service Provider(actor) -> Schedule Appointment(usecase) | association: User(actor) -> Make Call(usecase) | extend: Show Alternative Option(usecase) -> Display Available Slot(usecase) [When Slot Not Available] | include: Make Call(usecase) -> Display Available Slot(usecase) | include: Schedule Appointment(usecase) -> Send Confirmation(usecase) | include: Show Payment Method(usecase) -> Receive Payment(usecase);association | extend | include;Yes;Yes;No
UCD_0009;Satellite System;Satellite | Space System;Infrared Sensor Operation;Infrared Sensor Operation | Orbital Mechanics | Payload Management | Power Systems Testing | Satellite Command and Control;Environmental Test Engineer | Flight Controller | Payload Operator;Solar Simulation Chamber;Environmental Test Engineer | Flight Controller | Payload Operator | Solar Simulation Chamber;Environmental Test Engineer: Environment Engineer | Test Engineer || Flight Controller: Controller | Flight Team || Payload Operator: Operator | Payload User || Solar Simulation Chamber: Simulation Chamber | Solar Chamber;Execute Hohmann Transfer | Generate Electricity | Get Payload Status | Point Infrared Sensor | Send Command | Send Real Time Command | Send Stored Command;Execute Hohmann Transfer: Initiate Transfer | Perform Transfer || Generate Electricity: Create Electricity | Produce Power || Get Payload Status: Fetch Status | Read Status || Point Infrared Sensor: Aim Sensor | Direct Sensor || Send Command: Issue Command | Transmit Command || Send Real Time Command: Issue Command | Transmit Command || Send Stored Command: Issue Stored Command | Transmit Stored Command;association: Environmental Test Engineer(actor) -> Generate Electricity(usecase) | association: Flight Controller(actor) -> Execute Hohmann Transfer(usecase) | association: Generate Electricity(usecase) -> Solar Simulation Chamber(actor) | association: Payload Operator(actor) -> Get Payload Status(usecase) | association: Payload Operator(actor) -> Point Infrared Sensor(usecase) | generalization: Send Real Time Command(usecase) -> Send Command(usecase) | generalization: Send Stored Command(usecase) -> Send Command(usecase) | include: Execute Hohmann Transfer(usecase) -> Send Command(usecase) | include: Get Payload Status(usecase) -> Send Command(usecase) | include: Point Infrared Sensor(usecase) -> Send Command(usecase);association | generalization | include;Yes;No;Yes
UCD_0010;UAV Mission Planning;Mission System | UAV Control | UAV Planning;Command and Control Systems;Command and Control Systems | Geospatial Data Processing | Image Acquisition | Mission Planning | UAV Mission Management;Operator;Camera | GPS | Server;Camera | GPS | Operator | Server;Camera: Imager || GPS: Global Positioning || Operator: Controller | User || Server: Host | System Server;Allocate Uav | Assign Search Area | Capture Image | Create Marker | Create Mission | Evaluate Mission | Feed Command | Monitor Mission | Remove Coordinate | Send Command | Start Mission;Allocate Uav: Assign Uav || Assign Search Area: Define Area || Capture Image: Record Image || Create Marker: Define Marker || Create Mission: Define Mission || Evaluate Mission: Assess Mission || Feed Command: Provide Command || Monitor Mission: Track Mission || Remove Coordinate: Delete Coordinate || Send Command: Transmit Command || Start Mission: Initiate Mission;association: Camera(actor) -> Capture Image(usecase) | association: GPS(actor) -> Remove Coordinate(usecase) | association: Operator(actor) -> Allocate Uav(usecase) | association: Operator(actor) -> Create Mission(usecase) | association: Operator(actor) -> Evaluate Mission(usecase) | association: Operator(actor) -> Monitor Mission(usecase) | association: Server(actor) -> Feed Command(usecase) | association: Server(actor) -> Start Mission(usecase) | include: Create Marker(usecase) -> Remove Coordinate(usecase) | include: Create Mission(usecase) -> Create Marker(usecase) | include: Create Mission(usecase) -> Start Mission(usecase) | include: Feed Command(usecase) -> Assign Search Area(usecase) | include: Start Mission(usecase) -> Capture Image(usecase) | include: Start Mission(usecase) -> Send Command(usecase);association | include;Yes;No;No
