CaseId,SystemName,RelationshipType,SourceName,SourceType,TargetName,TargetType,Extension
1,Online Shopping System,association,Backend Database System,actor,Register User,usecase,
1,Online Shopping System,association,User,actor,Buy Product,usecase,
1,Online Shopping System,association,User,actor,Add To Cart,usecase,
1,Online Shopping System,association,User,actor,Register User,usecase,
1,Online Shopping System,association,Backend Database System,actor,Update Product Detail,usecase,
1,Online Shopping System,association,Backend Database System,actor,Recommend New Product,usecase,
1,Online Shopping System,association,Administrator,actor,Update Product Detail,usecase,
1,Online Shopping System,association,Administrator,actor,Delete Product,usecase,
1,Online Shopping System,association,Administrator,actor,Add Product,usecase,
1,Online Shopping System,association,User,actor,Report Technical Issue,usecase,
1,Online Shopping System,association,User,actor,Access Account,usecase,
1,Online Shopping System,extend,View Product,usecase,Add To Cart,usecase,When Product Needs to be Viewed
2,Administration Application,association,Helpdesk,actor,Manage Logs,usecase,
2,Administration Application,association,Helpdesk,actor,Manage Session,usecase,
2,Administration Application,association,Website Administrator,actor,Manage Logs,usecase,
2,Administration Application,association,Website Administrator,actor,Manage Session,usecase,
2,Administration Application,association,Website Administrator,actor,Manage User,usecase,
2,Administration Application,include,Manage Access Control Policy,usecase,Perform System Backup,usecase,
2,Administration Application,include,Manage Logs,usecase,Manage Access Control Policy,usecase,
3,Design Support System,association,Client,actor,Finalize Product,usecase,
3,Design Support System,association,Engineer,actor,Finalize Product,usecase,
3,Design Support System,association,Client,actor,Verify Client Requirement,usecase,
3,Design Support System,association,Administration,actor,Verify Client Requirement,usecase,
3,Design Support System,association,Engineer,actor,Approve Structural Design,usecase,
3,Design Support System,extend,Report Issue,usecase,Finalize Product,usecase,When an Issue is Found
3,Design Support System,include,Verify Client Requirement,usecase,Finalize Product,usecase,
3,Design Support System,include,Validate Furniture Design,usecase,Verify Client Requirement,usecase,
3,Design Support System,include,Approve Structural Design,usecase,Validate Furniture Design,usecase,
3,Design Support System,include,Approve Structural Design,usecase,Approve Heating Design,usecase,
4,Vehicle ,association,Vehicle Occupant,actor,Control Vehicle Accessory,usecase,
4,Vehicle ,association,Vehicle Occupant,actor,Exit Vehicle,usecase,
4,Vehicle ,association,Vehicle Occupant,actor,Enter Vehicle,usecase,
4,Vehicle ,association,Driver,actor,Drive Vehicle,usecase,
4,Vehicle ,extend,Perform Anti Lock Braking,usecase,Drive Vehicle,usecase,When Braking is Required
4,Vehicle ,generalization,Control Entertainment System,usecase,Control Vehicle Accessory,usecase,
4,Vehicle ,generalization,Control Climate System,usecase,Control Vehicle Accessory,usecase,
4,Vehicle ,include,Exit Vehicle,usecase,Open Door,usecase,
4,Vehicle ,include,Enter Vehicle,usecase,Open Door,usecase,
5,Airport,association,Airport Staff,actor,Issue Boarding Pass,usecase,
5,Airport,association,Airport Staff,actor,Validate Counter Checkin,usecase,
5,Airport,association,Passenger,actor,Validate Individual Checkin,usecase,
5,Airport,association,Passenger,actor,Validate Group Checkin,usecase,
5,Airport,include,Issue Boarding Pass,usecase,Handle Baggage,usecase,
5,Airport,include,Handle Baggage,usecase,Assign Gate,usecase,
5,Airport,include,Drop Baggage,usecase,Enter Security Screening,usecase,
5,Airport,include,Validate Individual Checkin,usecase,Drop Baggage,usecase,
6,Sentinel EMS,association,Developer,actor,Generate Trial Product,usecase,
6,Sentinel EMS,association,Product Manager,actor,Define Feature,usecase,
6,Sentinel EMS,association,Developer,actor,Generate Branded Rus,usecase,
6,Sentinel EMS,association,Customer Service,actor,Manage Customer,usecase,
6,Sentinel EMS,association,Privilege Manager,actor,Manage Customer,usecase,
6,Sentinel EMS,association,Privilege Manager,actor,Manage Environment,usecase,
6,Sentinel EMS,extend,Generate Product Key,usecase,Manage Environment,usecase,When Key is Required
6,Sentinel EMS,generalization,Define Full Product,usecase,Define Product,usecase,
6,Sentinel EMS,generalization,Define Trial Product,usecase,Define Product,usecase,
6,Sentinel EMS,include,Manage Environment,usecase,Manage Customer,usecase,
6,Sentinel EMS,include,Define Feature,usecase,Define Product,usecase,
6,Sentinel EMS,include,Generate Trial Product,usecase,Generate Runtime Installer,usecase,
6,Sentinel EMS,include,Generate Branded Rus,usecase,Manage Environment,usecase,
7,Cab Booking Application,association,Backend,actor,Confirm Booking,usecase,
7,Cab Booking Application,association,Backend,actor,Show Available Cabs,usecase,
7,Cab Booking Application,association,User,actor,Confirm Booking,usecase,
7,Cab Booking Application,association,User,actor,Access Account,usecase,
7,Cab Booking Application,extend,Delete Booking,usecase,Confirm Booking,usecase,When Booking Needs to be Deleted
7,Cab Booking Application,include,Confirm Booking,usecase,Show Driver Information,usecase,
7,Cab Booking Application,include,Show Payment Method,usecase,Confirm Booking,usecase,
7,Cab Booking Application,include,Book Cab,usecase,Show Payment Method,usecase,
7,Cab Booking Application,include,Show Available Cabs,usecase,Book Cab,usecase,
7,Cab Booking Application,include,Choose Location,usecase,Show Available Cabs,usecase,
7,Cab Booking Application,include,Access Account,usecase,Choose Location,usecase,
8,Appointment Booking ,association,User,actor,Make Call,usecase,
8,Appointment Booking ,association,Service Provider,actor,Resolve Technical Issue,usecase,
8,Appointment Booking ,association,Service Provider,actor,Display Available Slot,usecase,
8,Appointment Booking ,association,Service Provider,actor,Schedule Appointment,usecase,
8,Appointment Booking ,association,Payment Gateway,actor,Show Payment Method,usecase,
8,Appointment Booking ,extend,Show Alternative Option,usecase,Display Available Slot,usecase,When Slot Not Available
8,Appointment Booking ,include,Make Call,usecase,Display Available Slot,usecase,
8,Appointment Booking ,include,Schedule Appointment,usecase,Send Confirmation,usecase,
8,Appointment Booking ,include,Show Payment Method,usecase,Receive Payment,usecase,
9,Satellite System,association,Generate Electricity,usecase,Solar Simulation Chamber,actor,
9,Satellite System,association,Environmental Test Engineer,actor,Generate Electricity,usecase,
9,Satellite System,association,Flight Controller,actor,Execute Hohmann Transfer,usecase,
9,Satellite System,association,Payload Operator,actor,Get Payload Status,usecase,
9,Satellite System,association,Payload Operator,actor,Point Infrared Sensor,usecase,
9,Satellite System,generalization,Send Stored Command,usecase,Send Command,usecase,
9,Satellite System,generalization,Send Real Time Command,usecase,Send Command,usecase,
9,Satellite System,include,Get Payload Status,usecase,Send Command,usecase,
9,Satellite System,include,Point Infrared Sensor,usecase,Send Command,usecase,
9,Satellite System,include,Execute Hohmann Transfer,usecase,Send Command,usecase,
10,UAV Mission Planning,association,Camera,actor,Capture Image,usecase,
10,UAV Mission Planning,association,Server,actor,Feed Command,usecase,
10,UAV Mission Planning,association,Server,actor,Start Mission,usecase,
10,UAV Mission Planning,association,GPS,actor,Remove Coordinate,usecase,
