CaseId,SystemName,UseCaseName,Synonyms
1,Online Shopping System,Access Account,Login Account | Open Account | Open Profile | View Account | Open Account | Login Account | Open Account | View Account
1,Online Shopping System,Add Product,Create Product
1,Online Shopping System,Add To Cart,Insert Item
1,Online Shopping System,Buy Product,Purchase Product
1,Online Shopping System,Delete Product,Remove Product
1,Online Shopping System,Recommend New Product,Suggest Product | Propose Product
1,Online Shopping System,Register User,Create User | Enroll User | Add User | Create User | Create User
1,Online Shopping System,Report Technical Issue,Log Issue | Notify Problem
1,Online Shopping System,Update Product Detail,Revise Product | Modify Product
1,Online Shopping System,View Product,Inspect Product
2,Administration Application,Manage Access Control Policy,Control Access | Access Management
2,Administration Application,Manage Logs,Review Logs | Audit Logs
2,Administration Application,Manage Session,Session Control | Control Session
2,Administration Application,Manage User,User Control | Control User | Update User | Maintain User
2,Administration Application,Perform System Backup,Create Backup | Backup System
3,Design Support System,Approve Heating Design,Check Heating | Review Heating
3,Design Support System,Approve Structural Design,Check Structure | Review Structure
3,Design Support System,Finalize Product,Close Product | Complete Product
3,Design Support System,Report Issue,Log Issue | Note Problem
3,Design Support System,Validate Furniture Design,Review Furniture | Check Furniture
3,Design Support System,Verify Client Requirement,Check Requirement | Confirm Requirement
4,Vehicle ,Control Climate System,Adjust Climate | Manage Climate
4,Vehicle ,Control Entertainment System,Adjust Entertainment | Manage Entertainment
4,Vehicle ,Control Vehicle Accessory,Adjust Accessory | Manage Accessory
4,Vehicle ,Drive Vehicle,Operate Vehicle | Steer Vehicle
4,Vehicle ,Enter Vehicle,Board Vehicle
4,Vehicle ,Exit Vehicle,Leave Vehicle
4,Vehicle ,Open Door,Unlock Door
4,Vehicle ,Perform Anti Lock Braking,Engage Abs | Activate Abs
5,Airport,Assign Gate,Allocate Gate
5,Airport,Drop Baggage,Check Baggage
5,Airport,Enter Security Screening,Pass Screening
5,Airport,Handle Baggage,Manage Baggage
5,Airport,Issue Boarding Pass,Provide Pass
5,Airport,Validate Counter Checkin,Confirm Checkin
5,Airport,Validate Group Checkin,Confirm Checkin
5,Airport,Validate Individual Checkin,Confirm Checkin
6,Sentinel EMS,Define Feature,Configure Feature | Set Feature
6,Sentinel EMS,Define Full Product,Set Product | Configure Product
6,Sentinel EMS,Define Product,Configure Product | Set Product
6,Sentinel EMS,Define Trial Product,Configure Trial | Set Trial
6,Sentinel EMS,Generate Branded Rus,Issue Rus | Create Rus
6,Sentinel EMS,Generate Product Key,Create Key | Issue Key
6,Sentinel EMS,Generate Runtime Installer,Build Installer | Create Installer
6,Sentinel EMS,Generate Trial Product,Issue Trial | Create Trial
6,Sentinel EMS,Manage Customer,Update Customer | Maintain Customer
6,Sentinel EMS,Manage Environment,Maintain Environment | Update Environment
7,Cab Booking Application,Access Account,Login Account | Open Account | Open Profile | View Account | Open Account | Login Account | Open Account | View Account
7,Cab Booking Application,Book Cab,Order Cab | Request Ride
7,Cab Booking Application,Choose Location,Define Destination | Select Location
7,Cab Booking Application,Confirm Booking,Accept Ride | Validate Booking
7,Cab Booking Application,Delete Booking,Cancel Booking | Remove Reservation
7,Cab Booking Application,Show Available Cabs,List Vehicle | Display Cabs
7,Cab Booking Application,Show Driver Information,Present Driver | Display Driver
7,Cab Booking Application,Show Payment Method,Display Payment | Present Option | Display Method | Present Method
8,Appointment Booking ,Display Available Slot,Show Slot | Present Availability
8,Appointment Booking ,Make Call,Place Call
8,Appointment Booking ,Receive Payment,Process Payment | Accept Payment | Collect Payment | Accept Payment | Accept Payment
8,Appointment Booking ,Resolve Technical Issue,Fix Problem | Fix Issue | Correct Error
8,Appointment Booking ,Schedule Appointment,Book Appointment | Book Appointment | Arrange Visit | Arrange Visit
8,Appointment Booking ,Send Confirmation,Issue Confirmation | Deliver Notice
8,Appointment Booking ,Show Alternative Option,Display Alternative | Present Choice
8,Appointment Booking ,Show Payment Method,Display Payment | Present Option | Display Method | Present Method
9,Satellite System,Execute Hohmann Transfer,Initiate Transfer | Perform Transfer
